RegionHex,Log-Likelihood,Likelihood
0x19ab,-15.1939,2.51984E-07
0x5350,-15.1939,2.51984E-07
0x5c26,-15.1941,2.51934E-07
0x2ad8,-15.1942,2.51908E-07
0x4971,-15.1946,2.51808E-07
0x6437,-15.1946,2.51808E-07
0x29c3,-15.1947,2.51783E-07
0x36f9,-15.1954,2.51606E-07
0x08e0,-15.1961,2.5143E-07
0x2a43,-15.1962,2.51405E-07
0x4350,-15.1962,2.51405E-07
0x6a33,-15.1965,2.5133E-07
0x1f52,-15.1965,2.5133E-07
0x19ad,-15.1966,2.51305E-07
0x08d2,-15.1968,2.51254E-07
0x6730,-15.1969,2.51229E-07
0x1afa,-15.197,2.51204E-07
0x389a,-15.197,2.51204E-07
0x2d8a,-15.1972,2.51154E-07
0x12d1,-15.1976,2.51053E-07
0x272e,-15.1978,2.51003E-07
0x23ef,-15.198,2.50953E-07
0x26be,-15.1981,2.50928E-07
0x35bc,-15.1986,2.50803E-07
0x26ee,-15.1987,2.50777E-07
0x3180,-15.1992,2.50652E-07
0x02d1,-15.1999,2.50477E-07
0x1b6e,-15.2,2.50452E-07
0x3798,-15.2009,2.50226E-07
0x6271,-15.2013,2.50126E-07
0x2180,-15.2015,2.50076E-07
0x399e,-15.202,2.49951E-07
0x01f0,-15.202,2.49951E-07
0x7600,-15.2021,2.49926E-07
0x4d61,-15.2025,2.49826E-07
0x515b,-15.2027,2.49776E-07
0x750c,-15.203,2.49701E-07
0x4225,-15.203,2.49701E-07
0x0ada,-15.2031,2.49676E-07
0x2798,-15.2032,2.49651E-07
0x189a,-15.2039,2.49477E-07
0x05a1,-15.2041,2.49427E-07
0x0d8a,-15.2041,2.49427E-07
0x20b0,-15.2044,2.49352E-07
0x6600,-15.2044,2.49352E-07
0x7416,-15.2045,2.49327E-07
0x5805,-15.2049,2.49227E-07
0x415b,-15.205,2.49203E-07
0x650c,-15.2053,2.49128E-07
0x7350,-15.2059,2.48978E-07
0x5033,-15.2062,2.48904E-07
0x6971,-15.2066,2.48804E-07
0x1986,-15.2068,2.48754E-07
0x6416,-15.2068,2.48754E-07
0x3388,-15.207,2.48705E-07
0x2e19,-15.2071,2.4868E-07
0x1dcb,-15.2072,2.48655E-07
0x486b,-15.2072,2.48655E-07
0x39da,-15.2075,2.4858E-07
0x423d,-15.2076,2.48555E-07
0x2df3,-15.208,2.48456E-07
0x24f4,-15.2082,2.48406E-07
0x6350,-15.2082,2.48406E-07
0x35fa,-15.2083,2.48381E-07
0x29e1,-15.2087,2.48282E-07
0x162e,-15.2087,2.48282E-07
0x2388,-15.2093,2.48133E-07
0x6337,-15.21,2.4796E-07
0x08f4,-15.21,2.4796E-07
0x15bf,-15.2106,2.47811E-07
0x18b6,-15.2109,2.47737E-07
0x548b,-15.2113,2.47637E-07
0x32b6,-15.2115,2.47588E-07
0x3dde,-15.2117,2.47538E-07
0x0ffd,-15.2124,2.47365E-07
0x448b,-15.2136,2.47069E-07
0x0e19,-15.214,2.4697E-07
0x6d61,-15.2145,2.46846E-07
0x7131,-15.2146,2.46822E-07
0x715b,-15.2147,2.46797E-07
0x3daa,-15.2151,2.46698E-07
0x4731,-15.2158,2.46526E-07
0x40ab,-15.2159,2.46501E-07
0x16cb,-15.216,2.46476E-07
0x683d,-15.216,2.46476E-07
0x3d19,-15.2164,2.46378E-07
0x3f53,-15.2165,2.46353E-07
0x6904,-15.2166,2.46328E-07
0x5806,-15.2168,2.46279E-07
0x0bd6,-15.2169,2.46255E-07
0x615b,-15.217,2.4623E-07
0x1abe,-15.2172,2.46181E-07
0x1daa,-15.2176,2.46082E-07
0x39e8,-15.2179,2.46008E-07
0x7535,-15.2181,2.45959E-07
0x06cb,-15.2183,2.4591E-07
0x0bed,-15.2185,2.45861E-07
0x16f8,-15.2186,2.45836E-07
0x35bd,-15.2186,2.45836E-07
0x1edc,-15.2187,2.45812E-07
0x686b,-15.2192,2.45689E-07
0x1dfe,-15.2193,2.45664E-07
0x298c,-15.2196,2.45591E-07
0x39a6,-15.2203,2.45419E-07
0x25a1,-15.2205,2.4537E-07
0x27e9,-15.2209,2.45272E-07
0x721e,-15.221,2.45247E-07
0x15f9,-15.2214,2.45149E-07
0x39e3,-15.2218,2.45051E-07
0x11e4,-15.2222,2.44953E-07
0x548a,-15.2224,2.44904E-07
0x17fc,-15.2225,2.44879E-07
0x7521,-15.2225,2.44879E-07
0x4270,-15.2228,2.44806E-07
0x750d,-15.223,2.44757E-07
0x621e,-15.2233,2.44684E-07
0x1d19,-15.2234,2.44659E-07
0x16bd,-15.2234,2.44659E-07
0x423c,-15.2234,2.44659E-07
0x29c8,-15.2234,2.44659E-07
0x16d6,-15.2241,2.44488E-07
0x4a35,-15.2241,2.44488E-07
0x5924,-15.2241,2.44488E-07
0x1e48,-15.2241,2.44488E-07
0x2897,-15.2242,2.44463E-07
0x443a,-15.2242,2.44463E-07
0x448a,-15.2247,2.44341E-07
0x0cd7,-15.2248,2.44317E-07
0x3a63,-15.2251,2.44244E-07
0x650d,-15.2253,2.44195E-07
0x0aad,-15.2257,2.44097E-07
0x1084,-15.2259,2.44048E-07
0x35d5,-15.226,2.44024E-07
0x0d8d,-15.2261,2.43999E-07
0x17ff,-15.2263,2.43951E-07
0x7824,-15.2263,2.43951E-07
0x06d6,-15.2264,2.43926E-07
0x702b,-15.2269,2.43804E-07
0x0cd9,-15.2273,2.43707E-07
0x08c5,-15.2273,2.43707E-07
0x3485,-15.2277,2.43609E-07
0x4970,-15.2281,2.43512E-07
0x0084,-15.2282,2.43488E-07
0x25d5,-15.2283,2.43463E-07
0x13ec,-15.2286,2.4339E-07
0x3c87,-15.2299,2.43074E-07
0x2485,-15.23,2.4305E-07
0x05b2,-15.2302,2.43001E-07
0x486a,-15.2304,2.42952E-07
0x2a9f,-15.2305,2.42928E-07
0x0ab7,-15.2306,2.42904E-07
0x5601,-15.2313,2.42734E-07
0x3bfc,-15.2318,2.42613E-07
0x6807,-15.2334,2.42225E-07
0x2e2f,-15.2336,2.42176E-07
0x4601,-15.2337,2.42152E-07
0x34bb,-15.2345,2.41958E-07
0x6270,-15.2348,2.41886E-07
0x31b2,-15.2357,2.41668E-07
0x4a32,-15.2358,2.41644E-07
0x4d60,-15.236,2.41596E-07
0x1095,-15.2365,2.41475E-07
0x731a,-15.2367,2.41427E-07
0x14bb,-15.2369,2.41378E-07
0x11b2,-15.2381,2.41089E-07
0x2899,-15.2383,2.41041E-07
0x0095,-15.2388,2.4092E-07
0x631a,-15.239,2.40872E-07
0x40aa,-15.2391,2.40848E-07
0x5523,-15.2392,2.40824E-07
0x16bc,-15.2392,2.40824E-07
0x0ecd,-15.2393,2.408E-07
0x2edf,-15.2395,2.40752E-07
0x128b,-15.2396,2.40728E-07
0x1cc2,-15.2396,2.40728E-07
0x298d,-15.2397,2.40703E-07
0x6970,-15.2401,2.40607E-07
0x1e1e,-15.2401,2.40607E-07
0x33cf,-15.2408,2.40439E-07
0x5614,-15.2408,2.40439E-07
0x6d2e,-15.241,2.40391E-07
0x26bf,-15.2412,2.40343E-07
0x0aac,-15.2415,2.40271E-07
0x36ce,-15.2416,2.40247E-07
0x6c2d,-15.2419,2.40175E-07
0x028b,-15.2419,2.40175E-07
0x686a,-15.2423,2.40078E-07
0x703d,-15.2427,2.39982E-07
0x23cf,-15.2432,2.39862E-07
0x4614,-15.2432,2.39862E-07
0x5517,-15.2432,2.39862E-07
0x32e9,-15.2432,2.39862E-07
0x6814,-15.2434,2.39815E-07
0x09db,-15.2434,2.39815E-07
0x26ce,-15.2439,2.39695E-07
